STATIONID,EARTHMATID,SAMPLEID,Source,Sampler,STATION_wc_LIVE_ELEVATION,STATION_wc_LIVE_X_WGS84,STATION_wc_LIVE_Y_WGS84,STATION_wc_LIVE_SLSNOTES,SAMPLE_wc_LIVE_SAMPLETYPE,SAMPLE_wc_LIVE_PURPOSE,SAMPLE_wc_LIVE_NOTES,EARTHMAT_wc_LIVE_LITHGROUP,EARTHMAT_wc_LIVE_LITHTYPE,EARTHMAT_wc_LIVE_LITHDETAIL,EARTHMAT_wc_LIVE_MODTEXTURE,EARTHMAT_wc_LIVE_GRCRYSIZE,EARTHMAT_wc_LIVE_MAGSUSCEPT
10WCI077,10WCI077A,10WCI077A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,539.659973144531,-138.906750022,63.950008247,Klondike Shist,hand; single,geochemistry; litho,20m from contact with Klondike Shist,plutonic,felsic (p),quartz monzonite, , ,0
10WCI077,10WCI077A,10WCI077A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,539.659973144531,-138.906750022,63.950008247,Klondike Shist,hand; single,geochemistry; litho, ,plutonic,felsic (p),quartz monzonite, , ,0
10WCI080,10WCI080A,10WCI080A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1319.91003417969,-142.240603343,63.675033248, ,hand; single,geochemistry; litho, ,plutonic,felsic (p),quartz syenite, , ,0
10WCI081,10WCI081A,10WCI081A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1456.01000976563,-142.228300012,63.6719615810001, ,,,,,,,,,
10WCI082,10WCI082A,10WCI082A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1136.7099609375,-142.250383341,63.6843149150001, ,hand; single,geochemistry; litho, ,plutonic,felsic (p),quartz syenite, , ,13.5
10WCI083,10WCI083A,10WCI083A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1472.60998535156,-142.224536678,63.682371581,medium-grained quartz syenite -> altered fine-grained diorite (?),,,,plutonic,felsic (p),granodiorite, , ,1.46
10WCI084,10WCI084A,10WCI084A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1464.41003417969,-142.22813501,63.6842749150001,contact into less altered diorite (?),hand; single,geochemistry; litho, ,plutonic,felsic (p),granodiorite, , ,12.5
10WCI085,10WCI085A,10WCI085A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1462.51000976563,-142.227530011,63.684999915, ,hand; single,geochemistry; litho,"by a claim marker marked ""OJ""",plutonic,felsic (p),granodiorite, , ,0.96
10WCI086,10WCI086A,10WCI086A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1405.01000976563,-142.22692501,63.6864499150001, ,hand; single,geochemistry; litho, ,plutonic,felsic (p),granodiorite, , ,0.12
10WCI090,10WCI090A,10WCI090A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1799.51000976563,-138.015125031,61.366974919, ,hand; single,geochemistry; litho, ,plutonic,felsic (p),granodiorite, , ,22.5
